 Taxa de desemprego - Rondania
Taxa de desemprego 16a e+ por Município
Município: 110001 ALTA FLORESTA D'OESTE, 110002 ARIQUEMES, 110003 CABIXI, 110004 CACOAL, 110005 CEREJEIRAS, 110006 COLORADO DO OESTE, 110007 CORUMBIARA, 110008 COSTA MARQUES
Período:1991, 2000, 2010
"Município";"Taxa_de_desemprego_16a_e+"
"110001 ALTA FLORESTA D'OESTE";4,24
"110002 ARIQUEMES";5,33
"110003 CABIXI";3,71
"110004 CACOAL";5,79
"110005 CEREJEIRAS";6,26
"110006 COLORADO DO OESTE";5,71
"110007 CORUMBIARA";3,25
"110008 COSTA MARQUES";5,22
"Total";5,37
 Fonte: IBGE - Censos Demográficos
 Notas:
 
 Taxa de desemprego: Percentual da população de 16 anos e mais, economicamente ativa, desocupada.
 
 Consulte o sítio da Secretaria Estadual de Saúde e do
 IBGE para mais informações.
